latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.195078,-86.887085,9.0,-18000,America/Cancun,GMT-5

time,temperature_2m_max (°C),weather_code (wmo code),sunshine_duration (s),precipitation_hours (h)
2025-09-01,34.2,3,43176.80,0.0
2025-09-02,33.3,61,43123.75,7.0
2025-09-03,34.4,63,43075.73,3.0
2025-09-04,34.3,61,43029.50,3.0
2025-09-05,33.6,61,42982.30,3.0
2025-09-06,32.6,61,42432.35,4.0
2025-09-07,32.0,63,42852.23,10.0
2025-09-08,32.3,61,42795.91,5.0
2025-09-09,32.2,51,42739.08,7.0
2025-09-10,32.7,61,42681.82,2.0
2025-09-11,32.8,53,42624.21,3.0
2025-09-12,30.5,63,40092.26,5.0
2025-09-13,31.5,51,42095.10,7.0
2025-09-14,31.2,63,42208.38,5.0
2025-09-15,31.7,63,41315.74,6.0
2025-09-16,26.9,65,4365.60,12.0
2025-09-17,30.7,65,26591.03,12.0
2025-09-18,30.4,63,41002.49,3.0
2025-09-19,30.2,63,18861.80,12.0
2025-09-20,31.0,63,27423.89,6.0
2025-09-21,30.5,51,36395.30,8.0
2025-09-22,31.1,65,34931.46,6.0
2025-09-23,30.0,63,30765.08,9.0
2025-09-24,32.2,51,32985.81,3.0
2025-09-25,31.9,51,40953.58,1.0
2025-09-26,31.9,53,40489.00,3.0
2025-09-27,32.5,61,39600.00,4.0
2025-09-28,32.2,51,40793.21,4.0
2025-09-29,33.0,63,40575.43,4.0
2025-09-30,31.9,61,39863.69,11.0
2025-10-01,32.5,63,34379.44,8.0
2025-10-02,31.3,51,27968.93,7.0
2025-10-03,31.1,65,28800.00,12.0
2025-10-04,31.4,65,29165.71,11.0
2025-10-05,30.5,61,19373.83,9.0
2025-10-06,28.1,65,5572.65,21.0
2025-10-07,30.9,61,35879.44,9.0
2025-10-08,31.9,53,39841.36,3.0
2025-10-09,31.1,63,39600.00,10.0
2025-10-10,30.4,61,39600.00,9.0
2025-10-11,31.0,51,39672.03,1.0
2025-10-12,29.8,51,39600.00,5.0
2025-10-13,29.6,61,38865.26,6.0
2025-10-14,29.8,61,38561.15,9.0
2025-10-15,30.5,53,39600.00,7.0
2025-10-16,28.7,61,34614.30,9.0
2025-10-17,30.3,63,32789.61,14.0
2025-10-18,29.4,63,31134.25,14.0
2025-10-19,30.0,61,34240.05,11.0
2025-10-20,30.5,65,28138.17,12.0
2025-10-21,31.1,63,39600.00,6.0
2025-10-22,30.4,53,39600.00,7.0
2025-10-23,30.4,51,39600.00,2.0
2025-10-24,30.8,51,39600.00,2.0
2025-10-25,29.8,55,39600.00,10.0
2025-10-26,30.5,51,39600.00,2.0
2025-10-27,30.5,53,39600.00,9.0
2025-10-28,30.4,55,39600.00,7.0
2025-10-29,29.6,3,39600.00,0.0
2025-10-30,27.2,51,39600.00,1.0
2025-10-31,27.2,51,39600.00,5.0
2025-11-01,28.1,51,39600.00,4.0
2025-11-02,29.9,3,39600.00,0.0
2025-11-03,28.6,51,39600.00,8.0
2025-11-04,29.4,61,37234.50,6.0
2025-11-05,27.6,63,12640.64,23.0
2025-11-06,29.9,63,36000.00,14.0
2025-11-07,30.5,55,39600.00,4.0
2025-11-08,29.4,61,39600.00,6.0
2025-11-09,30.6,53,39600.00,4.0
2025-11-10,27.6,65,26338.93,10.0
2025-11-11,24.8,51,34808.54,2.0
2025-11-12,25.7,53,18553.83,5.0
2025-11-13,25.8,53,33739.38,14.0
2025-11-14,27.5,53,39498.91,9.0
2025-11-15,27.7,51,39462.07,7.0
2025-11-16,27.9,53,39425.01,6.0
2025-11-17,28.5,3,39387.78,0.0
2025-11-18,28.7,51,39350.43,5.0
2025-11-19,28.5,51,36510.00,3.0
2025-11-20,27.8,61,39275.52,5.0
2025-11-21,28.0,51,38329.49,5.0
2025-11-22,28.9,1,39200.67,0.0
2025-11-23,28.7,53,38912.48,2.0
2025-11-24,28.2,51,39125.26,1.0
2025-11-25,29.3,51,39086.68,3.0
2025-11-26,28.8,61,39047.61,8.0
2025-11-27,28.2,55,39008.14,8.0
2025-11-28,26.1,63,38968.36,8.0
2025-11-29,26.8,51,37793.28,6.0
2025-11-30,27.6,61,38888.25,8.0
2025-12-01,28.8,51,38848.10,7.0
2025-12-02,29.2,51,38808.00,3.0
2025-12-03,28.6,51,38433.00,1.0
2025-12-04,29.2,51,38728.36,1.0
2025-12-05,29.3,53,38689.00,4.0
2025-12-06,27.8,55,32441.94,6.0
2025-12-07,29.8,61,37253.10,5.0
2025-12-08,28.4,65,32208.90,11.0
2025-12-09,28.5,61,35537.04,9.0
2025-12-10,28.1,51,38500.41,4.0
2025-12-11,27.3,51,38333.52,2.0
2025-12-12,27.4,51,38430.54,1.0
2025-12-13,27.1,63,37272.38,8.0
2025-12-14,27.9,61,38363.51,4.0
2025-12-15,27.2,51,38131.34,4.0
2025-12-16,27.0,51,38296.81,1.0
2025-12-17,28.4,51,38165.48,3.0
2025-12-18,28.7,51,32291.24,4.0
2025-12-19,27.0,53,22624.43,8.0
2025-12-20,27.8,55,37114.59,8.0
2025-12-21,28.4,3,37679.27,0.0
2025-12-22,28.0,2,37419.21,0.0
2025-12-23,27.8,63,37158.73,13.0
2025-12-24,27.4,51,37172.35,2.0
2025-12-25,26.6,3,37185.30,0.0
2025-12-26,27.0,3,36923.34,0.0
2025-12-27,27.3,3,37230.25,0.0
2025-12-28,27.4,3,37219.95,0.0
2025-12-29,27.5,53,36956.15,4.0
2025-12-30,27.6,61,36691.93,8.0
2025-12-31,24.1,3,36000.00,0.0
